Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_4F_Mv1,1,153516,153516,24.581,255,2332.497,963.254,202.919,2.514
lesions:D1_4F_Mv1,4,3615,903.75,1.576,255,106.623,45.429,11.338,0.648
leaf:D1_4F_Mv2,1,170967,170967,20.751,255,2307.96,915.868,237.678,2.401
lesions:D1_4F_Mv2,9,12067,1340.778,4.603,255,122.887,42.145,20.182,87.033
leaf:D1_4F_Mv3,1,129733,129733,13.87,255,2385.342,998.467,165.435,176.581
lesions:D1_4F_Mv3,3,2651,883.667,1.291,255,117.174,49.265,17.76,157.679
leaf:D1_4W_BgMv,10,2645867,264586.7,17.861,255,3250.982,1352.159,237.228,91.866
lesions:D1_4W_BgMv,91,86101,946.165,0.725,255,121.346,42.47,18.339,62.851
leaf:D1_4W_Mv2,1,228635,228635,20.415,255,3424.729,1336.229,217.857,175.438
lesions:D1_4W_Mv2,5,3559,711.8,0.848,255,98.455,40.092,16.303,165.738
leaf:D1_4W_Mv3,1,401256,401256,22.789,255,4414.491,1805.224,283.009,173.879
lesions:D1_4W_Mv3,16,12189,761.812,1.474,255,75.559,27.577,12.527,105.342
leaf:D1_5F_BgMv,8,2327068,290883.5,15.886,255,3352.879,1404.525,257.285,112.356
lesions:D1_5F_BgMv,43,49238,1145.07,0.45,255,137.075,52.187,18.051,104.887
leaf:D1_5F_Mv1,1,192394,192394,26.735,255,2679.852,1128.142,217.139,177.682
lesions:D1_5F_Mv1,1,1894,1894,0.683,255,179.095,69.088,34.905,168.795
leaf:D1_5F_Mv2,1,246491,246491,21.094,255,2859.416,1188.64,264.035,175.02
lesions:D1_5F_Mv2,2,3538,1769,0.943,255,173.66,65.742,32.886,173.522
leaf:D1_5F_Mv3,1,321409,321409,22.309,255,3516.026,1463.754,279.576,179.372
lesions:D1_5F_Mv3,5,3778,755.6,0.82,255,105.489,43.376,16.363,131.462
leaf:D1_5W_BgMv,11,2631616,239237.818,16.669,255,2997.449,1243.603,235.357,144.59
lesions:D1_5W_BgMv,83,113254,1364.506,0.948,255,136.183,50.018,20.536,92.277
leaf:D1_6F_BgMv,2,757938,378969,10.209,254.996,3997.402,1618.414,298.232,150.166
lesions:D1_6F_BgMv,4,2710,677.5,0.065,255,106.74,32.551,19.515,104.888
leaf:D1_6W_BgMv,10,3585713,358571.3,22.101,255,3770.626,1543.432,289.244,118.697
lesions:D1_6W_BgMv,231,207988,900.381,1.695,255,116.295,43.122,17.525,105.178
leaf:D1_6W_Mv1,1,542023,542023,33.157,255,5222.903,2229.113,309.596,0.181
lesions:D1_6W_Mv1,34,33747,992.559,4.366,255,120.718,43.096,15.557,84.692
leaf:D1_6W_Mv2,1,276670,276670,20.435,255,3298.102,1380.794,255.119,1.363
lesions:D1_6W_Mv2,26,22650,871.154,5.608,255,106.879,35.972,17.938,94.563
leaf:D1_6W_Mv3,1,293898,293898,17.255,255,3362.896,1393.37,268.559,175.772
lesions:D1_6W_Mv3,19,15090,794.211,3.211,255,107.1,40.292,18.29,124.06
leaf:D1_7F_BgMv,10,3825193,382519.3,25.263,255,3759.066,1551.916,311.906,71.856
