site,plot,treatment,bag,stems,seeds,seed_weight.g,count_date,count_initials,bag_notes
D2,10,fungicide,10,2,66,0.0648,1/23/2019,PR,
D3,1,water,1,0,70,0.0788,2/7/2019,PR,
D3,1,water,2,1,62,0.0633,2/7/2019,PR,
D3,1,water,3,0,54,0.0467,2/7/2019,PR,
D3,1,water,4,1,59,0.0752,2/7/2019,PR,
D3,1,water,5,3,49,0.0469,2/7/2019,PR,
D3,1,water,6,0,37,0.0396,2/7/2019,PR,
D3,1,water,7,0,60,0.0763,2/7/2019,PR,
D3,1,water,8,0,56,0.0624,2/7/2019,PR,
D3,1,water,9,0,58,0.053,2/7/2019,PR,
D3,1,water,10,1,34,0.0312,2/7/2019,PR,
D3,2,water,1,0,89,0.0785,2/7/2019,PR,
D3,2,water,2,0,51,0.0607,2/7/2019,PR,
D3,2,water,3,3,86,0.1034,2/7/2019,PR,
D3,2,water,4,0,66,0.0636,2/7/2019,PR,
D3,2,water,5,2,85,0.0654,2/7/2019,PR,
D3,2,water,6,2,102,0.0932,2/7/2019,PR,
D3,2,water,7,0,57,0.0699,2/7/2019,PR,
D3,2,water,8,3,98,0.0913,2/7/2019,PR,
D3,2,water,9,2,45,0.0493,2/7/2019,PR,
D3,2,water,10,0,99,0.1034,2/7/2019,PR,
D3,3,water,1,3,73,0.0755,2/7/2019,PR,
D3,3,water,2,0,30,0.0237,2/7/2019,PR,
D3,3,water,3,3,37,0.0269,2/7/2019,PR,
D3,3,water,4,1,76,0.0575,2/7/2019,PR,
D3,3,water,5,0,98,0.0897,2/7/2019,PR,
D3,3,water,6,3,58,0.063,2/7/2019,PR,
D3,3,water,7,0,13,0.0104,2/7/2019,PR,
D3,3,water,8,3,48,0.0489,2/7/2019,PR,
D3,3,water,9,1,38,0.0509,2/7/2019,PR,
D3,3,water,10,1,69,0.0582,2/7/2019,PR,
D3,4,water,1,0,33,0.0323,2/12/2019,DN,
D3,4,water,2,3,48,0.041,2/12/2019,DN,
D3,4,water,3,0,51,0.0468,2/12/2019,DN,
D3,4,water,4,2,27,0.0249,2/12/2019,DN,
D3,4,water,5,1,37,0.0244,2/12/2019,DN,
D3,4,water,6,1,40,0.0549,2/12/2019,DN,
D3,4,water,7,1,14,0.0142,2/12/2019,DN,
D3,4,water,8,3,43,0.0388,2/12/2019,DN,
D3,4,water,9,1,36,0.0233,2/12/2019,DN,
D3,4,water,10,0,15,0.0093,2/12/2019,DN,
D3,5,water,1,3,58,0.0704,2/8/2019,PR,
D3,5,water,2,1,49,0.0616,2/8/2019,PR,
D3,5,water,3,0,68,0.0794,2/8/2019,PR,
