date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,field_notes
20180926,D4,2,fungicide,Mv,Bg4,3,2,
20180926,D4,2,fungicide,Mv,Bg5,5,4,
20180926,D4,2,fungicide,Mv,Bg6,4,0,
20180926,D4,2,fungicide,Mv,Bg7,6,2,
20180926,D4,2,fungicide,Mv,Bg8,3,2,
20180926,D4,2,fungicide,Mv,Bg9,7,5,
20180926,D4,3,fungicide,Mv,1,4,2,
20180926,D4,3,fungicide,Mv,2,3,1,
20180926,D4,3,fungicide,Mv,3,4,4,
20180926,D4,3,fungicide,Mv,Bg1,6,6,
20180926,D4,3,fungicide,Mv,Bg10,4,3,
20180926,D4,3,fungicide,Mv,Bg2,3,3,
20180926,D4,3,fungicide,Mv,Bg3,4,3,
20180926,D4,3,fungicide,Mv,Bg4,5,5,
20180926,D4,3,fungicide,Mv,Bg5,5,4,
20180926,D4,3,fungicide,Mv,Bg6,5,3,
20180926,D4,3,fungicide,Mv,Bg7,3,3,
20180926,D4,3,fungicide,Mv,Bg8,6,5,
20180926,D4,3,fungicide,Mv,Bg9,4,4,
20180926,D4,4,fungicide,Mv,1,NA,NA,
20180926,D4,4,fungicide,Mv,2,5,1,
20180926,D4,4,fungicide,Mv,3,3,1,
20180926,D4,4,fungicide,Mv,Bg1,5,2,
20180926,D4,4,fungicide,Mv,Bg10,4,2,
20180926,D4,4,fungicide,Mv,Bg2,3,1,
20180926,D4,4,fungicide,Mv,Bg3,6,1,
20180926,D4,4,fungicide,Mv,Bg4,3,2,
20180926,D4,4,fungicide,Mv,Bg5,4,4,
20180926,D4,4,fungicide,Mv,Bg6,4,3,
20180926,D4,4,fungicide,Mv,Bg7,3,2,
20180926,D4,4,fungicide,Mv,Bg8,6,0,
20180926,D4,4,fungicide,Mv,Bg9,5,1,
20180926,D4,5,fungicide,Mv,1,2,1,
20180926,D4,5,fungicide,Mv,2,4,2,
20180926,D4,5,fungicide,Mv,3,NA,NA,
20180926,D4,6,fungicide,Mv,1,4,1,
20180926,D4,6,fungicide,Mv,2,4,2,
20180926,D4,6,fungicide,Mv,3,NA,NA,
20180926,D4,7,fungicide,Mv,1,5,4,
20180926,D4,7,fungicide,Mv,2,5,4,
20180926,D4,7,fungicide,Mv,3,5,5,
20180926,D4,9,fungicide,Mv,1,4,2,
20180926,D4,9,fungicide,Mv,2,4,3,
20180926,D4,9,fungicide,Mv,3,NA,NA,
